ema100, rdp5, rdp10, rdp15, rdp20, label
1373.0883, -0.06460587, 0.0024773849, 0.024221227, 0.021097515, up
1357.9567, -0.08746719, 0.009557478, 0.013719389, 0.021875199, up
1351.7314, -0.04515753, -0.0048056515, 0.0010180476, 0.019962452, up
1349.903, -0.007628052, -0.029538933, -0.005719965, 0.02079279, up
1350.472, -0.0057987524, -0.029901996, 0.0050662095, 0.019990334, down
1357.29, 0.045124494, -0.06460587, 0.0024773849, 0.024221227, down
1365.7977, 0.078925185, -0.08746719, 0.009557478, 0.013719389, down
1367.8324, 0.037035655, -0.04515753, -0.0048056515, 0.0010180476, down
1369.1538, 0.023722786, -0.007628052, -0.029538933, -0.005719965, down
1362.0232, -0.014230272, -0.0057987524, -0.029901996, 0.0050662095, up
1357.9462, -0.030999048, 0.045124494, -0.06460587, 0.0024773849, down
1352.8129, -0.04825581, 0.078925185, -0.08746719, 0.009557478, down
1344.4482, -0.047224853, 0.037035655, -0.04515753, -0.0048056515, down
1339.8907, -0.03840103, 0.023722786, -0.007628052, -0.029538933, down
1338.9589, 0.0012973231, -0.014230272, -0.0057987524, -0.029901996, down
1335.3251, -0.015540663, -0.030999048, 0.045124494, -0.06460587, up
1333.9017, -0.0030549646, -0.04825581, 0.078925185, -0.08746719, up
1327.8895, -0.005453912, -0.047224853, 0.037035655, -0.04515753, up
1325.176, -0.0055536884, -0.03840103, 0.023722786, -0.007628052, up
1326.6864, -0.0018723366, 0.0012973231, -0.014230272, -0.0057987524, up
1330.9991, 0.020790556, -0.015540663, -0.030999048, 0.045124494, up
1334.0973, 0.013762906, -0.0030549646, -0.04825581, 0.078925185, up
1335.3938, 0.028178297, -0.005453912, -0.047224853, 0.037035655, up
1340.561, 0.03569149, -0.0055536884, -0.03840103, 0.023722786, down
1345.6125, 0.02482871, -0.0018723366, 0.0012973231, -0.014230272, down
1351.4662, 0.019751534, 0.020790556, -0.015540663, -0.030999048, down
1355.4908, 0.018641042, 0.013762906, -0.0030549646, -0.04825581, down
1357.933, 0.020230047, 0.028178297, -0.005453912, -0.047224853, down
1352.1364, -0.023713868, 0.03569149, -0.0055536884, -0.03840103, down
1350.6608, -0.015419262, 0.02482871, -0.0018723366, 0.0012973231, down
1343.8627, -0.04233821, 0.019751534, 0.020790556, -0.015540663, up
1337.9003, -0.041951254, 0.018641042, 0.013762906, -0.0030549646, up
1332.5621, -0.041302912, 0.020230047, 0.028178297, -0.005453912, up
1330.0637, -0.006681971, -0.023713868, 0.03569149, -0.0055536884, up
1331.7065, -0.004818689, -0.015419262, 0.02482871, -0.0018723366, up
1330.6255, 0.007313909, -0.04233821, 0.019751534, 0.020790556, up
1331.2963, 0.015166798, -0.041951254, 0.018641042, 0.013762906, down
1332.2328, 0.018890964, -0.041302912, 0.020230047, 0.028178297, down
1334.0104, 0.015946161, -0.006681971, -0.023713868, 0.03569149, down
1336.5466, 0.00628412, -0.004818689, -0.015419262, 0.02482871, down
1336.567, 0.0078036455, 0.007313909, -0.04233821, 0.019751534, down
1331.2196, -0.018103737, 0.015166798, -0.041951254, 0.018641042, up
1327.4276, -0.017754735, 0.018890964, -0.041302912, 0.020230047, up
1326.1882, -0.0148308985, 0.015946161, -0.006681971, -0.023713868, up
1327.0183, -0.012140861, 0.00628412, -0.004818689, -0.015419262, up
1327.8768, -0.0039950367, 0.0078036455, 0.007313909, -0.04233821, up
1328.8456, 0.017475562, -0.018103737, 0.015166798, -0.041951254, up
1330.7043, 0.019721705, -0.017754735, 0.018890964, -0.041302912, up
1336.4838, 0.029041117, -0.0148308985, 0.015946161, -0.006681971, up
1345.1371, 0.03714091, -0.012140861, 0.00628412, -0.004818689, up
1353.2373, 0.040809393, -0.0039950367, 0.0078036455, 0.007313909, up
1360.3436, 0.042056885, 0.017475562, -0.018103737, 0.015166798, down
1367.6754, 0.043986417, 0.019721705, -0.017754735, 0.018890964, up
1374.612, 0.031450436, 0.029041117, -0.0148308985, 0.015946161, up
1379.3477, 0.013437245, 0.03714091, -0.012140861, 0.00628412, up
1380.6942, 3.175005E-4, 0.040809393, -0.0039950367, 0.0078036455, up
1381.2734, -0.0037299579, 0.042056885, 0.017475562, -0.018103737, up
1386.1627, 0.006241926, 0.043986417, 0.019721705, -0.017754735, up
1395.474, 0.02164921, 0.031450436, 0.029041117, -0.0148308985, up
1400.9052, 0.017406952, 0.013437245, 0.03714091, -0.012140861, up
1406.1239, 0.029522138, 3.175005E-4, 0.040809393, -0.0039950367, up
1412.467, 0.039209593, -0.0037299579, 0.042056885, 0.017475562, up
1416.8037, 0.02022455, 0.006241926, 0.043986417, 0.019721705, up
1423.7053, 0.012975382, 0.02164921, 0.031450436, 0.029041117, down
1425.1519, 0.005841249, 0.017406952, 0.013437245, 0.03714091, up
1426.3518, 0.002908216, 0.029522138, 3.175005E-4, 0.040809393, up
1431.3252, 0.009305629, 0.039209593, -0.0037299579, 0.042056885, down
1435.5659, 0.012815957, 0.02022455, 0.006241926, 0.043986417, down
1432.3995, -0.021759704, 0.012975382, 0.02164921, 0.031450436, up
1432.8992, 0.0027674697, 0.005841249, 0.017406952, 0.013437245, up
1433.3531, 0.0028089434, 0.002908216, 0.029522138, 3.175005E-4, up
1434.8865, -0.0070285355, 0.009305629, 0.039209593, -0.0037299579, up
1438.3549, -2.0656979E-4, 0.012815957, 0.02022455, 0.006241926, down
1440.7721, 0.021630846, -0.021759704, 0.012975382, 0.02164921, down
1442.8353, 0.011282975, 0.0027674697, 0.005841249, 0.017406952, down
1447.2081, 0.020575894, 0.0028089434, 0.002908216, 0.029522138, down
1446.8068, 0.0029006756, -0.0070285355, 0.009305629, 0.039209593, down
1440.2416, -0.026338803, -2.0656979E-4, 0.012815957, 0.02022455, down
1428.6151, -0.047109812, 0.021630846, -0.021759704, 0.012975382, down
1423.1863, -0.034194984, 0.011282975, 0.0027674697, 0.005841249, down
1411.5785, -0.06796609, 0.020575894, 0.0028089434, 0.002908216, down
1403.7208, -0.050449707, 0.0029006756, -0.0070285355, 0.009305629, down
1390.695, -0.053317595, -0.026338803, -2.0656979E-4, 0.012815957, down
1378.5278, -0.037804518, -0.047109812, 0.021630846, -0.021759704, down
1369.4983, -0.048584677, -0.034194984, 0.011282975, 0.0027674697, down
1354.7509, -0.05082959, -0.06796609, 0.020575894, 0.0028089434, up
1348.2865, -0.036333416, -0.050449707, 0.0029006756, -0.0070285355, down
1344.473, -0.0069998996, -0.053317595, -0.026338803, -2.0656979E-4, down
1339.118, -0.009143845, -0.037804518, -0.047109812, 0.021630846, down
1330.3126, -0.028716523, -0.048584677, -0.034194984, 0.011282975, down
1326.0583, 0.010248834, -0.05082959, -0.06796609, 0.020575894, down
1321.1702, -0.015736226, -0.036333416, -0.050449707, 0.0029006756, down
1310.3044, -0.046929784, -0.0069998996, -0.053317595, -0.026338803, down
1292.8698, -0.071768954, -0.009143845, -0.037804518, -0.047109812, down
1281.4257, -0.04589638, -0.028716523, -0.048584677, -0.034194984, up
1273.1088, -0.05286322, 0.010248834, -0.05082959, -0.06796609, up
1259.2587, -0.07510641, -0.015736226, -0.036333416, -0.050449707, up
1251.7529, -0.035608273, -0.046929784, -0.0069998996, -0.053317595, up
1245.2823, -0.0030495373, -0.071768954, -0.009143845, -0.037804518, up
1248.664, 0.021478506, -0.04589638, -0.028716523, -0.048584677, down
1249.2653, 0.009541617, -0.05286322, 0.010248834, -0.05082959, down
1244.5778, 0.018249607, -0.07510641, -0.015736226, -0.036333416, up
1241.1005, 0.004469041, -0.035608273, -0.046929784, -0.0069998996, up
1240.6461, 0.01593401, -0.0030495373, -0.071768954, -0.009143845, up
1238.2408, -0.026596589, 0.021478506, -0.04589638, -0.028716523, up
1238.203, -0.010881458, 0.009541617, -0.05286322, 0.010248834, up
1240.0702, 0.017710518, 0.018249607, -0.07510641, -0.015736226, up
1239.7979, 0.009387316, 0.004469041, -0.035608273, -0.046929784, up
1244.4423, 0.019526541, 0.01593401, -0.0030495373, -0.071768954, up
1254.5841, 0.05415021, -0.026596589, 0.021478506, -0.04589638, down
1262.5892, 0.04568469, -0.010881458, 0.009541617, -0.05286322, up
1267.2551, 0.030764548, 0.017710518, 0.018249607, -0.07510641, up
1269.7743, 0.033211984, 0.009387316, 0.004469041, -0.035608273, up
1268.6112, 7.4420153E-4, 0.019526541, 0.01593401, -0.0030495373, up
1269.6753, -0.016384179, 0.05415021, -0.026596589, 0.021478506, down
1275.5979, 0.0036150299, 0.04568469, -0.010881458, 0.009541617, down
1280.5663, 0.011291446, 0.030764548, 0.017710518, 0.018249607, down
1283.7909, 0.013157765, 0.033211984, 0.009387316, 0.004469041, down
1284.037, 0.016661966, 7.4420153E-4, 0.019526541, 0.01593401, down
1278.2557, -0.0147575205, -0.016384179, 0.05415021, -0.026596589, up
1269.2883, -0.050696913, 0.0036150299, 0.04568469, -0.010881458, up
1262.1606, -0.05135948, 0.011291446, 0.030764548, 0.017710518, up
1264.3885, -0.018038154, 0.013157765, 0.033211984, 0.009387316, up
1265.7767, -0.01065358, 0.016661966, 7.4420153E-4, 0.019526541, up
1265.2916, 0.006549099, -0.0147575205, -0.016384179, 0.05415021, up
1268.1874, 0.03757842, -0.050696913, 0.0036150299, 0.04568469, up
1270.3655, 0.036825623, -0.05135948, 0.011291446, 0.030764548, up
1275.5463, 0.018039716, -0.018038154, 0.013157765, 0.033211984, down
1279.8511, 0.020246506, -0.01065358, 0.016661966, 7.4420153E-4, up
1283.4453, 0.027284577, 0.006549099, -0.0147575205, -0.016384179, down
1284.2279, 0.0059307264, 0.03757842, -0.050696913, 0.0036150299, up
1286.4045, 0.012532469, 0.036825623, -0.05135948, 0.011291446, up
1287.5336, -0.003255472, 0.018039716, -0.018038154, 0.013157765, up
1290.9286, 0.0057360544, 0.020246506, -0.01065358, 0.016661966, down
